Name,Latitude,Longtitude,Possibility,Time
Mandarin Duck,51.3876742,6.8028331,95,1993-04-15
Eurasian Blue Tit,51.5284237,6.7392862,94,2007-05-19
Eurasian Blue Tit,51.5284237,6.7392862,80,2007-05-20
Common Chaffinch,51.5284237,6.7392862,87,2007-05-19
Common Swift,51.5284237,6.7392862,84,2007-05-19
Common Swift,51.5284237,6.7392862,89,2007-05-20
Common Wood-Pigeon,51.5284237,6.7392862,81,2007-05-19
Common Wood-Pigeon,51.5284237,6.7392862,75,2007-05-20
Eurasian Collared-Dove,51.5284237,6.7392862,86,2007-05-19
Eurasian Blackbird,51.5284237,6.7392862,85,2007-05-19
Eurasian Blackbird,51.5284237,6.7392862,87,2007-05-20
Eurasian Jackdaw,51.5284237,6.7392862,81,2007-05-19
Eurasian Jackdaw,51.5284237,6.7392862,83,2007-05-20
Eurasian Magpie,51.5284237,6.7392862,84,2007-05-20
Eurasian Magpie,51.5284237,6.7392862,82,2007-05-19
Eurasian Oystercatcher,51.4508245,6.7243195,89,2007-05-25
Great Black-backed Gull,51.4508245,6.7243195,91,2007-05-25
Gray Heron,51.4508245,6.7243195,91,2007-05-25
Great Cormorant,51.4508245,6.7243195,96,2007-05-25
Great Tit,51.5284237,6.7392862,75,2007-05-19
Herring Gull,51.4508245,6.7243195,90,2007-05-25
House Sparrow,51.4508245,6.7243195,82,2007-05-25
Mallard,51.4508245,6.7243195,89,2007-05-25
Mew Gull,51.4508245,6.7243195,92,2007-05-25
White Wagtail,51.4508245,6.7243195,89,2007-05-25
Eurasian Wren,51.5284237,6.7392862,96,2007-05-20
Eurasian Wren,51.5284237,6.7392862,91,2007-05-19
Eurasian Blackcap,51.4298085,6.8344915,92,2008-08-28
Eurasian Bullfinch,51.4298085,6.8344915,87,2008-08-28
Goldcrest,51.4298085,6.8344915,78,2008-08-28
Eurasian Wren,51.4298085,6.8344915,85,2008-08-28
Common Shelduck,51.5207071,6.7016602,76,2010-04-25
Great Crested Grebe,51.5207071,6.7016602,83,2010-04-25
Great Cormorant,51.5207071,6.7016602,96,2010-04-25
Mallard,51.5207071,6.7016602,83,2010-04-25
Mandarin Duck,51.5207071,6.7016602,79,2010-04-25
Mute Swan,51.5207071,6.7016602,85,2010-04-25
Northern Lapwing,51.5207071,6.7016602,88,2010-04-25
Whooper Swan,51.5207071,6.7016602,88,2010-04-25
Black-headed Gull,51.4373,6.7999,96,2010-10-20
Eurasian Blue Tit,51.4373,6.7999,77,2010-10-20
Carrion Crow,51.4373,6.7999,77,2010-10-20
Eurasian Moorhen,51.4373,6.7999,78,2010-10-20
Common Wood-Pigeon,51.4373,6.7999,81,2010-10-20
Dunnock,51.4373,6.7999,87,2010-10-20
Eurasian Collared-Dove,51.4373,6.7999,81,2010-10-20
Eurasian Blackbird,51.4373,6.7999,92,2010-10-20
Eurasian Nuthatch,51.4373,6.7999,75,2010-10-20
European Robin,51.4373,6.7999,85,2010-10-20
European Starling,51.4373,6.7999,91,2010-10-20
Goldcrest,51.4373,6.7999,79,2010-10-20
Gray Heron,51.4373,6.7999,89,2010-10-20
Great Tit,51.4373,6.7999,76,2010-10-20
House Sparrow,51.4373,6.7999,75,2010-10-20
Mallard,51.4373,6.7999,77,2010-10-20
Eurasian Wren,51.4373,6.7999,90,2010-10-20
Black-headed Gull,51.5261627,6.6995308,93,2011-05-16
Canada Goose,51.5261627,6.6995308,88,2011-05-16
Carrion Crow,51.5261627,6.6995308,88,2011-05-16
Egyptian Goose,51.5261627,6.6995308,86,2011-05-16
Eurasian Jackdaw,51.5261627,6.6995308,97,2011-05-16
Gray Heron,51.5261627,6.6995308,81,2011-05-16
Mallard,51.5261627,6.6995308,76,2011-05-16
Carrion Crow,51.4494569,6.7995071,96,2011-09-12
Carrion Crow,51.5314655,6.8216515,91,2011-09-12
Carrion Crow,51.5314655,6.8216515,76,2011-09-13
Common Buzzard,51.5314655,6.8216515,83,2011-09-13
Common Wood-Pigeon,51.4494569,6.7995071,82,2011-09-12
Common Wood-Pigeon,51.4494569,6.7995071,79,2011-09-13
Common Wood-Pigeon,51.5314655,6.8216515,88,2011-09-12
Common Wood-Pigeon,51.5314655,6.8216515,75,2011-09-13
Eurasian Jay,51.4494569,6.7995071,87,2011-09-12
Eurasian Jay,51.3755023,6.8247414,83,2011-09-15
Eurasian Magpie,51.5314655,6.8216515,97,2011-09-12
Rock Pigeon,51.5314655,6.8216515,77,2011-09-13
Carrion Crow,51.4494569,6.7995071,86,2011-10-24
Carrion Crow,51.5314655,6.8216515,81,2011-10-24
Carrion Crow,51.5314655,6.8216515,94,2011-10-28
Common Buzzard,51.5314655,6.8216515,81,2011-10-28
Common Wood-Pigeon,51.4494569,6.7995071,75,2011-10-24
Common Wood-Pigeon,51.5314655,6.8216515,75,2011-10-24
Common Wood-Pigeon,51.5314655,6.8216515,86,2011-10-28
Eurasian Jay,51.4494569,6.7995071,81,2011-10-24
Eurasian Jay,51.5314655,6.8216515,86,2011-10-24
Eurasian Magpie,51.5314655,6.8216515,90,2011-10-28
Eurasian Magpie,51.5314655,6.8216515,81,2011-10-24
Gray Heron,51.4494569,6.7995071,89,2011-10-24
Great Spotted Woodpecker,51.5314655,6.8216515,89,2011-10-28
Eurasian Jay,51.4494569,6.7995071,76,2011-11-02
Black-headed Gull,51.5261627,6.6995308,96,2011-12-10
Canada Goose,51.5261627,6.6995308,98,2011-12-10
Carrion Crow,51.5261627,6.6995308,87,2011-12-10
Common Chaffinch,51.5261627,6.6995308,80,2011-12-10
Eurasian Magpie,51.5261627,6.6995308,87,2011-12-10
Eurasian Wigeon,51.5261627,6.6995308,81,2011-12-10
Graylag Goose,51.5261627,6.6995308,92,2011-12-10
Gray Heron,51.5261627,6.6995308,76,2011-12-10
